model,MAE,RMSE,R2,MAPE
xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc_calibrated,595370.4453571003,804773.7442912834,0.7510400619777378,0.22459337226143108
gbr_log_target,615619.1127961734,838582.1656687786,0.7297226393931099,0.22315805240171596
hist_gbm_log_target,646721.8288925132,865001.7024626592,0.7119738568283003,0.23446171998864684
lightgbm_top_aux_log_target,645669.6485348725,873581.2235170667,0.70674959710863,0.23222618562769518
lightgbm_log_target,650895.6552923801,874802.397232159,0.7054986107137093,0.23273574209537878
xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc,656220.144605784,889595.2411184388,0.695793405331296,0.22681468294077348
lightgbm_all_aux_log_target,661863.6502865406,895603.2768145527,0.6920486850313181,0.2344543876283405
seasonal_naive_mean2y,706902.4968333459,969551.3536276934,0.6385876056819241,0.2583705620364495
mlp_deep_learning,1004208.8635019453,1267381.9004055618,0.38089377334325386,0.3411618553823407
seasonal_naive_lag365,,,,
seasonal_naive_growth,,,,
