fold,model,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,seasonal_naive_lag365,,,,
fold1_2020H2-2021,seasonal_naive_mean2y,720296.7191712204,955871.0721679407,0.6212524336467087,0.3212584389013692
fold1_2020H2-2021,seasonal_naive_growth,,,,
fold1_2020H2-2021,hist_gbm_log_target,636187.3122650506,879461.3838180364,0.6793843161127423,0.26444697749804347
fold1_2020H2-2021,gbr_log_target,591340.4277647731,826002.9121318235,0.7171772305467717,0.2517271839665532
fold1_2020H2-2021,lightgbm_log_target,649767.0478927171,899523.2363352203,0.6645900154476319,0.25915480587048706
fold1_2020H2-2021,lightgbm_top_aux_log_target,627926.7784492655,863322.4311600676,0.6910435517438687,0.2557115512672203
fold1_2020H2-2021,lightgbm_all_aux_log_target,615870.279899073,863260.9576780443,0.6910875491005701,0.24914953595796543
fold1_2020H2-2021,mlp_deep_learning,943014.6237633093,1256827.2264659773,0.3452094935602549,0.3636921644500137
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc,640259.2041848816,893680.0705230394,0.6689334067297897,0.24670532686561483
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc_calibrated,576919.776559913,803725.7513869684,0.7322268790333903,0.241794690379225
fold2_2021H2-2022,seasonal_naive_lag365,,,,
fold2_2021H2-2022,seasonal_naive_mean2y,676345.9810928962,941474.2419615706,0.633046236095455,0.2556496210628792
fold2_2021H2-2022,seasonal_naive_growth,,,,
fold2_2021H2-2022,hist_gbm_log_target,622567.1494786973,833769.3982392899,0.7122029327371325,0.23245840318918795
fold2_2021H2-2022,gbr_log_target,595559.3202737387,809868.5020956786,0.7284664619227154,0.22271137397477084
fold2_2021H2-2022,lightgbm_log_target,609214.8263766422,824680.1883044755,0.718443482785288,0.23064591126122944
fold2_2021H2-2022,lightgbm_top_aux_log_target,614691.827323611,837594.8229370356,0.7095559858921119,0.2295260483000236
fold2_2021H2-2022,lightgbm_all_aux_log_target,639877.8791161088,859174.4189516247,0.6943973348777414,0.23898875854329396
fold2_2021H2-2022,mlp_deep_learning,1012942.2617908284,1269179.0931564197,0.333131381991034,0.3553649647758334
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc,624038.178784153,844098.9727465388,0.7050277200068751,0.22311043788657323
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc_calibrated,567288.7422090777,769124.2520861147,0.7551007398167767,0.22263378941337875
fold3_test_proxy,seasonal_naive_lag365,837704.0917808219,1161819.0014722333,0.51820234689425,0.27861859568076297
fold3_test_proxy,seasonal_naive_mean2y,719878.7173424658,991869.7332112682,0.6488464962478917,0.23484797587462375
fold3_test_proxy,seasonal_naive_growth,843078.4941060396,1165580.2393699826,0.5150777829154936,0.27908197428981796
fold3_test_proxy,hist_gbm_log_target,665428.4431917877,877957.21245453,0.7248722275692242,0.2236696070645635
fold3_test_proxy,gbr_log_target,637366.4623221945,860842.0652274208,0.7354945094138818,0.21199840683194815
fold3_test_proxy,lightgbm_log_target,676355.5956016883,894987.3869475446,0.714095125577193,0.2234220150858251
fold3_test_proxy,lightgbm_top_aux_log_target,671353.4892958722,899276.5808078849,0.7113481819844454,0.22445212176848806
fold3_test_proxy,lightgbm_all_aux_log_target,693452.4611437868,930397.5191869129,0.6910239494957633,0.22585570574751845
fold3_test_proxy,mlp_deep_learning,1023446.52042407,1270525.454330881,0.4238249200677854,0.32362786611917577
fold3_test_proxy,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc,681913.7002671234,915259.0703797383,0.700996815966551,0.22108097240335708
fold3_test_proxy,xgboost_top_aux_no_lag_residual_focused_aux_anchor_consensus_calendar_router_micgc_calibrated,619599.7347647889,826582.6367761105,0.7561289284520535,0.21888859472314492
