fold,model,MAE,RMSE,R2,MAPE
fold1_2020H2-2021,seasonal_naive_lag365,,,,
fold1_2020H2-2021,seasonal_naive_mean2y,720296.7191712204,955871.0721679407,0.6212524336467087,0.3212584389013692
fold1_2020H2-2021,seasonal_naive_growth,,,,
fold1_2020H2-2021,hist_gbm_log_target,634445.3270140296,886771.1766613628,0.674032463189889,0.25922904366448285
fold1_2020H2-2021,gbr_log_target,593929.8469512033,829993.9350263965,0.7144375814630282,0.25071495095995144
fold1_2020H2-2021,lightgbm_log_target,643207.3345246313,896620.8612018962,0.6667509714950566,0.2594619787141011
fold1_2020H2-2021,lightgbm_top_aux_log_target,629684.7061234912,871705.2638408425,0.6850145081642438,0.25329097083978874
fold1_2020H2-2021,lightgbm_all_aux_log_target,617294.2376691522,857430.823136614,0.6952460124194975,0.2568975688721405
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual_legacy_lookup_mic,1003551.3237099419,1306861.6217374094,0.292037225791115,0.3437002986792752
fold1_2020H2-2021,mlp_deep_learning,1220712.7756163115,1570576.715522247,-0.02251461187348336,0.44994054681930007
fold1_2020H2-2021,xgboost_top_aux_no_lag_residual_legacy_lookup_mic_calibrated,667080.6627957517,947598.8408573235,0.6277795281406406,0.24147603217177604
fold2_2021H2-2022,seasonal_naive_lag365,,,,
fold2_2021H2-2022,seasonal_naive_mean2y,676345.9810928962,941474.2419615706,0.633046236095455,0.2556496210628792
fold2_2021H2-2022,seasonal_naive_growth,,,,
fold2_2021H2-2022,hist_gbm_log_target,607897.915620567,817866.2091693562,0.7230770226843133,0.22920486839349347
fold2_2021H2-2022,gbr_log_target,566690.6651679287,774746.6738579726,0.7515071469555611,0.21853693287775358
fold2_2021H2-2022,lightgbm_log_target,604426.4661276258,812728.5515652627,0.7265452348857462,0.2326544123205464
fold2_2021H2-2022,lightgbm_top_aux_log_target,612100.105210432,831449.3434671526,0.7138023581408169,0.23018638902104577
fold2_2021H2-2022,lightgbm_all_aux_log_target,626854.5404771469,848133.952463098,0.7022009143076786,0.2323628849065997
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual_legacy_lookup_mic,656994.5845705342,888184.4392864807,0.6734115797583988,0.24526569973888723
fold2_2021H2-2022,mlp_deep_learning,709825.0499549479,947718.9683974831,0.628162139376907,0.2700659399065573
fold2_2021H2-2022,xgboost_top_aux_no_lag_residual_legacy_lookup_mic_calibrated,662521.3878341577,902613.9144003771,0.6627138485507831,0.28652548764740093
fold3_test_proxy,seasonal_naive_lag365,837704.0917808219,1161819.0014722333,0.51820234689425,0.27861859568076297
fold3_test_proxy,seasonal_naive_mean2y,719878.7173424658,991869.7332112682,0.6488464962478917,0.23484797587462375
fold3_test_proxy,seasonal_naive_growth,843078.4941060396,1165580.2393699826,0.5150777829154936,0.27908197428981796
fold3_test_proxy,hist_gbm_log_target,655250.0297997087,869837.0955215965,0.7299379376879713,0.22017034762709137
fold3_test_proxy,gbr_log_target,626657.270289492,845676.9549837016,0.7447317963654561,0.2122523330224563
fold3_test_proxy,lightgbm_log_target,654758.3192940402,865099.996987499,0.7328714227474484,0.21825654650968454
fold3_test_proxy,lightgbm_top_aux_log_target,679871.436931838,905772.5294633595,0.7071629519245294,0.22449504381324023
fold3_test_proxy,lightgbm_all_aux_log_target,696263.0475153954,939655.715937984,0.6848442393423009,0.2252697650725978
fold3_test_proxy,xgboost_top_aux_no_lag_residual_legacy_lookup_mic,792701.3933112962,1059481.598020014,0.5993413107647505,0.25520164856269484
fold3_test_proxy,mlp_deep_learning,756121.082262907,990579.981702212,0.649759128799267,0.24465209811765126
fold3_test_proxy,xgboost_top_aux_no_lag_residual_legacy_lookup_mic_calibrated,689896.1832084359,956063.6301026503,0.6737418833774069,0.27226013724991255
